项目名称,项目健康度总分
woocommerce_woocommerce,235.79284124022917
microsoftgraph_microsoftgraphdocs,236.30017748671852
alibaba_nacos,236.61227791799425
ArduPilot_ardupilot,236.7835755235081
rapid7_metasploitframework,237.44408989825445
qgis_QGIS,237.5514901107624
brave_bravebrowser,238.67104923111637
kubernetes_minikube,239.21415970883737
gradle_gradle,239.566149695882
nrfconnect_sdknrf,243.4651201880229
ccxt_ccxt,246.5092455906307
flybywiresim_a32nx,247.4032383539745
apache_arrow,248.71083120871015
vectordotdev_vector,249.4653198265512
solanalabs_solana,251.55448655090595
dotnet_efcore,251.6962297758029
desktop_desktop,255.3692865581349
rancher_rancher,256.82367336850683
condaforge_stagedrecipes,261.37619950308266
metabase_metabase,263.12765181901364
apache_flink,263.14944961123
filescommunity_Files,263.513705035372
openmmlab_mmdetection,267.53436556317024
ChiaNetwork_chiablockchain,268.14273325665505
leanprovercommunity_mathlib,268.7491576268428
cilium_cilium,269.23596133815533
SkyratSS13_Skyrattg,269.29505463512453
logseq_logseq,269.7397222189652
systemd_systemd,271.26729934577315
zulip_zulip,277.5829268376193
kubevirt_kubevirt,278.7625299480684
getsentry_sentry,280.7511764156236
strapi_strapi,282.812922333292
demisto_content,290.7494047308662
Azure_azurepowershell,290.8572611164407
taosdata_TDengine,291.5322234695556
cypressio_cypress,292.0704714240424
Azure_azurecli,292.9161104780192
PrestaShop_PrestaShop,294.4979710848697
coolsnowwolf_lede,294.964924701442
openssl_openssl,295.17552484825603
mozillamobile_fenix,296.1262609739263
Azure_azuresdkforpython,297.94282952281696
RocketChat_Rocket.Chat,298.7226230911746
metersphere_metersphere,300.9909603674453
oppia_oppia,301.44351896053536
nuxt_framework,301.9979207299847
gentoo_gentoo,302.5925494840713
apache_beam,303.6531279747678
microsoft_onnxruntime,305.6462810708913
microsoft_fluentui,308.6290886653187
hashicorp_terraformproviderazurerm,309.54734908431936
apache_superset,309.89857044173004
expo_expo,310.0695393923278
Koenkk_zigbee2mqtt,311.46590272680106
SerenityOS_serenity,311.6329070197811
dotnet_AspNetCore.Docs,312.0520179188445
prisma_prisma,312.20080131451255
neovim_neovim,314.79670930576856
PowerShell_PowerShell,317.8706114086976
openvinotoolkit_openvino,321.3739771993998
containers_podman,323.93908063274534
jlord_patchwork,324.16536781506625
grpc_grpc,326.4350476529316
mdn_translatedcontent,328.7353014144025
TPLab_tokens,332.71852265538405
sveltejs_kit,334.8648596185729
typechallenges_typechallenges,335.45618836728465
kubernetes_testinfra,336.4167664797173
PaddlePaddle_PaddleOCR,336.82573563046014
qmk_qmk_firmware,339.75683445520536
webcompat_webbugs,344.24014196016765
JuliaRegistries_General,345.8484180084934
ValveSoftware_Proton,346.0764648334773
apache_airflow,347.57938783331497
microsoft_vcpkg,347.5868102019052
angular_components,348.47102321149083
voidlinux_voidpackages,351.8022255055989
trinodb_trino,352.1285460937397
helixeditor_helix,352.9279552831779
laravel_framework,354.5481555640307
JacksonKearl_testissues,354.9057849355344
bevyengine_bevy,356.3816294984356
dotnet_maui,357.91233461270247
MarlinFirmware_Marlin,360.9274798741024
gogitea_gitea,360.9508858201223
LightningAI_lightning,363.3357046951097
joomla_joomlacms,371.4355327002687
o3de_o3de,371.58582133900063
ClickHouse_ClickHouse,373.0561022751119
hashicorp_terraformprovideraws,376.35940253821445
envoyproxy_envoy,378.1029329392725
conanio_conancenterindex,379.3717006356896
openshift_openshiftdocs,380.4801779991389
nextcloud_server,382.7357802176382
Azure_azuresdkfornet,383.5880681338746
rails_rails,383.8885036940332
elementplus_elementplus,388.4577591022335
CleverRaven_CataclysmDDA,388.48068981746
raycast_extensions,391.0998986918123
sourcegraph_sourcegraph,392.06341830190576
backstage_backstage,396.7128303017145
rayproject_ray,396.97326065119137
symfony_symfony,402.9653190287193
JuliaLang_julia,406.02969589441625
storybookjs_storybook,406.1759590839637
Azure_azuresdkforjs,420.5386274883832
mrdoob_three.js,424.08121790158464
pingcap_tidb,430.3003419306209
dotnet_aspnetcore,435.6588117807353
gatsbyjs_gatsby,436.2936368521506
scikitlearn_scikitlearn,436.92042981755856
PaddlePaddle_Paddle,440.569621567812
ceph_ceph,442.2397444734706
Azure_azuresdkforjava,444.10268587805854
magento_magento2,446.3183490530906
ValveSoftware_Dota2Gameplay,451.5422397461858
Azure_azurerestapispecs,460.16876780421927
trustwallet_assets,461.8975396536821
remixrun_remix,462.0320009170735
unifyai_ivy,463.0308300671408
aws_awscdk,472.07466933954856
opencv_opencv,475.2769919596958
appsmithorg_appsmith,484.4115796858899
ultralytics_yolov5,491.57495240419087
microsoft_terminal,494.7909000394935
education_GitHubGraduation2022,495.4332023291262
bitcoin_bitcoin,495.6120472486075
microsoft_playwright,497.0343983985225
AdguardTeam_AdguardFilters,497.8234122295552
airbytehq_airbyte,498.0617289768013
openjdk_jdk,499.93591901333286
projectchip_connectedhomeip,504.7407611153666
pandasdev_pandas,504.87568080159485
vitejs_vite,507.2708209089208
quarkusio_quarkus,512.4431249837826
electron_electron,513.0771070721404
denoland_deno,515.0811770977434
ytdlp_ytdlp,517.4575963122762
cockroachdb_cockroach,525.710464777198
kubernetes_website,540.5304818537526
grafana_grafana,543.9936208761771
apple_swift,548.5908302068427
mui_materialui,551.956824820228
openshift_release,553.7115202181303
Homebrew_homebrewcask,561.2453311749028
tgstation_tgstation,586.2425015208667
antdesign_antdesign,587.5385712158018
google_itcertautomationpractice,591.4320370483489
Automattic_wpcalypso,594.8373531699924
cmssw_cmssw,601.7880280885506
mdn_content,605.2623077523237
elementfi_elfcouncilfrontend,607.640034158962
firstcontributions_firstcontributions,610.5943350927871
WordPress_gutenberg,610.7067583842675
microsoft_TypeScript,618.7435193343609
Expensify_App,637.2475063100167
zephyrprojectrtos_zephyr,641.7970471949237
golang_go,657.9652426695683
python_cpython,658.990069393446
DefinitelyTyped_DefinitelyTyped,661.3816443921773
istio_istio,666.171189271367
godotengine_godot,669.8781803093141
vercel_next.js,671.1863028993641
taozhiyu_TyProAction,676.7738054592553
dotnet_roslyn,685.7136839982052
facebook_reactnative,711.9312169135085
nodejs_node,712.2852545946189
elastic_elasticsearch,729.839897639229
Homebrew_homebrewcore,736.5679716811039
facebook_react,748.4522625056547
ansible_ansible,760.4043826273858
microsoft_PowerToys,768.3783434351794
angular_angular,769.1511711152995
huggingface_transformers,769.8910704709399
odoo_odoo,775.5338311753353
github_docs,791.4110596203144
solanalabs_tokenlist,813.3506228169288
archwaynetwork_testnets,876.4077891305448
MicrosoftDocs_azuredocs,918.6003911746384
wjz304_Redpill_CustomBuild,977.1262603547478
apache_spark,978.2025263080149
homeassistant_core,1047.8209806584218
rustlang_rust,1080.777519168651
elastic_kibana,1157.6180215915872
pytorch_pytorch,1207.7377868230665
tensorflow_tensorflow,1325.638346852642
NixOS_nixpkgs,1337.2106847157504
dotnet_runtime,1379.6135135265897
flutter_flutter,1464.1498252986023
microsoft_vscode,1541.0207439751016
AUTOMATIC1111_stablediffusionwebui,1666.7675644237795
microsoft_wingetpkgs,1920.4508854872597
kubernetes_kubernetes,2164.5287496170213
googletest_signclav2proberepo,2510.3375084820077
